Clinic,Date,Ailment,Attendance,MedicationUsed,MedicationStock,StockAdequacy
Pumwani Maternity Hospital,2024-01-01,Malaria,132,61,370,Adequate
Pumwani Maternity Hospital,2024-01-01,Flu,136,101,120,Adequate
Pumwani Maternity Hospital,2024-01-01,Typhoid,132,92,314,Adequate
Pumwani Maternity Hospital,2024-01-01,Respiratory Infection,360,104,187,Adequate
Pumwani Maternity Hospital,2024-01-01,Diarrhea,129,113,763,Adequate
Pumwani Maternity Hospital,2024-01-01,Skin Infection,160,31,408,Adequate
Pumwani Maternity Hospital,2024-01-01,Pneumonia,287,117,591,Adequate
Pumwani Maternity Hospital,2024-01-02,Malaria,323,11,291,Adequate
Pumwani Maternity Hospital,2024-01-02,Flu,306,62,559,Adequate
Pumwani Maternity Hospital,2024-01-02,Typhoid,343,31,352,Adequate
Pumwani Maternity Hospital,2024-01-02,Respiratory Infection,265,118,660,Adequate
Pumwani Maternity Hospital,2024-01-02,Diarrhea,88,51,575,Adequate
Pumwani Maternity Hospital,2024-01-02,Skin Infection,217,89,289,Adequate
Pumwani Maternity Hospital,2024-01-02,Pneumonia,204,91,662,Adequate
Pumwani Maternity Hospital,2024-01-03,Malaria,393,64,343,Adequate
Pumwani Maternity Hospital,2024-01-03,Flu,349,32,584,Adequate
Pumwani Maternity Hospital,2024-01-03,Typhoid,336,16,120,Adequate
Pumwani Maternity Hospital,2024-01-03,Respiratory Infection,358,68,373,Adequate
Pumwani Maternity Hospital,2024-01-03,Diarrhea,118,69,113,Adequate
Pumwani Maternity Hospital,2024-01-03,Skin Infection,271,18,445,Adequate
Pumwani Maternity Hospital,2024-01-03,Pneumonia,82,31,439,Adequate
Pumwani Maternity Hospital,2024-01-04,Malaria,121,69,554,Adequate
Pumwani Maternity Hospital,2024-01-04,Flu,293,76,134,Adequate
Pumwani Maternity Hospital,2024-01-04,Typhoid,235,90,661,Adequate
Pumwani Maternity Hospital,2024-01-04,Respiratory Infection,389,33,101,Adequate
Pumwani Maternity Hospital,2024-01-04,Diarrhea,83,115,576,Adequate
Pumwani Maternity Hospital,2024-01-04,Skin Infection,220,27,655,Adequate
Pumwani Maternity Hospital,2024-01-04,Pneumonia,191,103,369,Adequate
Pumwani Maternity Hospital,2024-01-05,Malaria,380,57,370,Adequate
Pumwani Maternity Hospital,2024-01-05,Flu,244,91,395,Adequate
Pumwani Maternity Hospital,2024-01-05,Typhoid,242,89,437,Adequate
Pumwani Maternity Hospital,2024-01-05,Respiratory Infection,396,82,316,Adequate
Pumwani Maternity Hospital,2024-01-05,Diarrhea,281,69,479,Adequate
Pumwani Maternity Hospital,2024-01-05,Skin Infection,70,38,114,Adequate
Pumwani Maternity Hospital,2024-01-05,Pneumonia,330,94,620,Adequate
Pumwani Maternity Hospital,2024-01-06,Malaria,373,10,747,Adequate
Pumwani Maternity Hospital,2024-01-06,Flu,92,40,598,Adequate
Pumwani Maternity Hospital,2024-01-06,Typhoid,110,17,774,Adequate
Pumwani Maternity Hospital,2024-01-06,Respiratory Infection,318,34,589,Adequate
Pumwani Maternity Hospital,2024-01-06,Diarrhea,260,50,127,Adequate
Pumwani Maternity Hospital,2024-01-06,Skin Infection,164,82,132,Adequate
Pumwani Maternity Hospital,2024-01-06,Pneumonia,77,148,506,Adequate
Pumwani Maternity Hospital,2024-01-07,Malaria,91,97,198,Adequate
Pumwani Maternity Hospital,2024-01-07,Flu,201,133,646,Adequate
Pumwani Maternity Hospital,2024-01-07,Typhoid,256,110,561,Adequate
Pumwani Maternity Hospital,2024-01-07,Respiratory Infection,160,30,104,Adequate
Pumwani Maternity Hospital,2024-01-07,Diarrhea,247,23,492,Adequate
Pumwani Maternity Hospital,2024-01-07,Skin Infection,236,24,653,Adequate
Pumwani Maternity Hospital,2024-01-07,Pneumonia,208,92,340,Adequate
Pumwani Maternity Hospital,2024-01-08,Malaria,81,105,584,Adequate
Pumwani Maternity Hospital,2024-01-08,Flu,260,138,754,Adequate
Pumwani Maternity Hospital,2024-01-08,Typhoid,200,38,135,Adequate
Pumwani Maternity Hospital,2024-01-08,Respiratory Infection,42,61,798,Adequate
Pumwani Maternity Hospital,2024-01-08,Diarrhea,272,95,677,Adequate
Pumwani Maternity Hospital,2024-01-08,Skin Infection,199,54,673,Adequate
Pumwani Maternity Hospital,2024-01-08,Pneumonia,163,57,127,Adequate
Pumwani Maternity Hospital,2024-01-09,Malaria,137,53,439,Adequate
Pumwani Maternity Hospital,2024-01-09,Flu,315,91,430,Adequate
Pumwani Maternity Hospital,2024-01-09,Typhoid,157,101,572,Adequate
Pumwani Maternity Hospital,2024-01-09,Respiratory Infection,260,91,324,Adequate
Pumwani Maternity Hospital,2024-01-09,Diarrhea,312,71,732,Adequate
Pumwani Maternity Hospital,2024-01-09,Skin Infection,145,86,358,Adequate
Pumwani Maternity Hospital,2024-01-09,Pneumonia,388,99,555,Adequate
Pumwani Maternity Hospital,2024-01-10,Malaria,166,71,776,Adequate
Pumwani Maternity Hospital,2024-01-10,Flu,254,80,333,Adequate
Pumwani Maternity Hospital,2024-01-10,Typhoid,201,33,473,Adequate
Pumwani Maternity Hospital,2024-01-10,Respiratory Infection,189,125,571,Adequate
Pumwani Maternity Hospital,2024-01-10,Diarrhea,262,61,212,Adequate
Pumwani Maternity Hospital,2024-01-10,Skin Infection,347,67,663,Adequate
Pumwani Maternity Hospital,2024-01-10,Pneumonia,297,68,485,Adequate
Pumwani Maternity Hospital,2024-01-11,Malaria,142,110,724,Adequate
Pumwani Maternity Hospital,2024-01-11,Flu,110,88,212,Adequate
Pumwani Maternity Hospital,2024-01-11,Typhoid,31,11,319,Adequate
Pumwani Maternity Hospital,2024-01-11,Respiratory Infection,83,116,324,Adequate
Pumwani Maternity Hospital,2024-01-11,Diarrhea,155,11,152,Adequate
Pumwani Maternity Hospital,2024-01-11,Skin Infection,201,99,771,Adequate
Pumwani Maternity Hospital,2024-01-11,Pneumonia,227,61,346,Adequate
Pumwani Maternity Hospital,2024-01-12,Malaria,353,64,302,Adequate
Pumwani Maternity Hospital,2024-01-12,Flu,213,46,393,Adequate
Pumwani Maternity Hospital,2024-01-12,Typhoid,309,78,709,Adequate
Pumwani Maternity Hospital,2024-01-12,Respiratory Infection,227,115,610,Adequate
Pumwani Maternity Hospital,2024-01-12,Diarrhea,269,25,708,Adequate
Pumwani Maternity Hospital,2024-01-12,Skin Infection,230,68,425,Adequate
Pumwani Maternity Hospital,2024-01-12,Pneumonia,378,32,759,Adequate
Pumwani Maternity Hospital,2024-01-13,Malaria,281,68,502,Adequate
Pumwani Maternity Hospital,2024-01-13,Flu,375,96,610,Adequate
Pumwani Maternity Hospital,2024-01-13,Typhoid,176,29,588,Adequate
Pumwani Maternity Hospital,2024-01-13,Respiratory Infection,157,68,437,Adequate
Pumwani Maternity Hospital,2024-01-13,Diarrhea,389,10,572,Adequate
Pumwani Maternity Hospital,2024-01-13,Skin Infection,180,40,397,Adequate
Pumwani Maternity Hospital,2024-01-13,Pneumonia,128,36,243,Adequate
Pumwani Maternity Hospital,2024-01-14,Malaria,375,69,101,Adequate
Pumwani Maternity Hospital,2024-01-14,Flu,333,41,552,Adequate
Pumwani Maternity Hospital,2024-01-14,Typhoid,66,41,108,Adequate
Pumwani Maternity Hospital,2024-01-14,Respiratory Infection,262,128,758,Adequate
Pumwani Maternity Hospital,2024-01-14,Diarrhea,333,89,230,Adequate
Pumwani Maternity Hospital,2024-01-14,Skin Infection,181,63,219,Adequate
Pumwani Maternity Hospital,2024-01-14,Pneumonia,190,53,727,Adequate
Pumwani Maternity Hospital,2024-01-15,Malaria,104,81,519,Adequate
Pumwani Maternity Hospital,2024-01-15,Flu,133,113,353,Adequate
Pumwani Maternity Hospital,2024-01-15,Typhoid,256,98,198,Adequate
Pumwani Maternity Hospital,2024-01-15,Respiratory Infection,182,122,437,Adequate
Pumwani Maternity Hospital,2024-01-15,Diarrhea,223,63,262,Adequate
Pumwani Maternity Hospital,2024-01-15,Skin Infection,237,70,780,Adequate
Pumwani Maternity Hospital,2024-01-15,Pneumonia,190,97,497,Adequate
Pumwani Maternity Hospital,2024-01-16,Malaria,306,57,603,Adequate
Pumwani Maternity Hospital,2024-01-16,Flu,164,96,500,Adequate
Pumwani Maternity Hospital,2024-01-16,Typhoid,157,42,787,Adequate
Pumwani Maternity Hospital,2024-01-16,Respiratory Infection,51,139,769,Adequate
Pumwani Maternity Hospital,2024-01-16,Diarrhea,67,111,464,Adequate
Pumwani Maternity Hospital,2024-01-16,Skin Infection,80,63,382,Adequate
Pumwani Maternity Hospital,2024-01-16,Pneumonia,56,127,376,Adequate
Pumwani Maternity Hospital,2024-01-17,Malaria,315,106,383,Adequate
Pumwani Maternity Hospital,2024-01-17,Flu,396,93,580,Adequate
Pumwani Maternity Hospital,2024-01-17,Typhoid,346,57,758,Adequate
Pumwani Maternity Hospital,2024-01-17,Respiratory Infection,33,64,291,Adequate
Pumwani Maternity Hospital,2024-01-17,Diarrhea,78,26,271,Adequate
Pumwani Maternity Hospital,2024-01-17,Skin Infection,249,39,576,Adequate
Pumwani Maternity Hospital,2024-01-17,Pneumonia,75,146,617,Adequate
Pumwani Maternity Hospital,2024-01-18,Malaria,128,114,136,Adequate
Pumwani Maternity Hospital,2024-01-18,Flu,309,122,596,Adequate
Pumwani Maternity Hospital,2024-01-18,Typhoid,331,62,706,Adequate
Pumwani Maternity Hospital,2024-01-18,Respiratory Infection,128,89,215,Adequate
Pumwani Maternity Hospital,2024-01-18,Diarrhea,220,94,260,Adequate
Pumwani Maternity Hospital,2024-01-18,Skin Infection,285,76,227,Adequate
Pumwani Maternity Hospital,2024-01-18,Pneumonia,47,54,665,Adequate
Pumwani Maternity Hospital,2024-01-19,Malaria,87,76,785,Adequate
Pumwani Maternity Hospital,2024-01-19,Flu,309,143,387,Adequate
Pumwani Maternity Hospital,2024-01-19,Typhoid,371,32,738,Adequate
Pumwani Maternity Hospital,2024-01-19,Respiratory Infection,184,135,485,Adequate
Pumwani Maternity Hospital,2024-01-19,Diarrhea,302,113,492,Adequate
Pumwani Maternity Hospital,2024-01-19,Skin Infection,328,57,138,Adequate
Pumwani Maternity Hospital,2024-01-19,Pneumonia,199,148,637,Adequate
Pumwani Maternity Hospital,2024-01-20,Malaria,384,59,507,Adequate
Pumwani Maternity Hospital,2024-01-20,Flu,42,89,605,Adequate
Pumwani Maternity Hospital,2024-01-20,Typhoid,342,45,784,Adequate
Pumwani Maternity Hospital,2024-01-20,Respiratory Infection,49,94,611,Adequate
Pumwani Maternity Hospital,2024-01-20,Diarrhea,171,85,570,Adequate
Pumwani Maternity Hospital,2024-01-20,Skin Infection,172,101,453,Adequate
Pumwani Maternity Hospital,2024-01-20,Pneumonia,351,61,150,Adequate
Pumwani Maternity Hospital,2024-01-21,Malaria,182,67,674,Adequate
Pumwani Maternity Hospital,2024-01-21,Flu,219,51,413,Adequate
Pumwani Maternity Hospital,2024-01-21,Typhoid,87,95,404,Adequate
Pumwani Maternity Hospital,2024-01-21,Respiratory Infection,209,71,153,Adequate
Pumwani Maternity Hospital,2024-01-21,Diarrhea,130,106,363,Adequate
Pumwani Maternity Hospital,2024-01-21,Skin Infection,82,69,719,Adequate
Pumwani Maternity Hospital,2024-01-21,Pneumonia,34,132,295,Adequate
Pumwani Maternity Hospital,2024-01-22,Malaria,291,118,449,Adequate
Pumwani Maternity Hospital,2024-01-22,Flu,76,128,755,Adequate
Pumwani Maternity Hospital,2024-01-22,Typhoid,298,115,769,Adequate
Pumwani Maternity Hospital,2024-01-22,Respiratory Infection,176,46,219,Adequate
Pumwani Maternity Hospital,2024-01-22,Diarrhea,348,28,703,Adequate
Pumwani Maternity Hospital,2024-01-22,Skin Infection,87,64,445,Adequate
Pumwani Maternity Hospital,2024-01-22,Pneumonia,258,119,216,Adequate
Pumwani Maternity Hospital,2024-01-23,Malaria,347,32,226,Adequate
Pumwani Maternity Hospital,2024-01-23,Flu,158,87,733,Adequate
Pumwani Maternity Hospital,2024-01-23,Typhoid,30,43,195,Adequate
Pumwani Maternity Hospital,2024-01-23,Respiratory Infection,155,147,659,Adequate
Pumwani Maternity Hospital,2024-01-23,Diarrhea,118,113,336,Adequate
Pumwani Maternity Hospital,2024-01-23,Skin Infection,301,70,546,Adequate
Pumwani Maternity Hospital,2024-01-23,Pneumonia,98,51,346,Adequate
Pumwani Maternity Hospital,2024-01-24,Malaria,105,35,755,Adequate
Pumwani Maternity Hospital,2024-01-24,Flu,115,86,384,Adequate
Pumwani Maternity Hospital,2024-01-24,Typhoid,249,78,146,Adequate
Pumwani Maternity Hospital,2024-01-24,Respiratory Infection,123,139,552,Adequate
Pumwani Maternity Hospital,2024-01-24,Diarrhea,233,25,317,Adequate
